geometry,Bed Name,Survey Date,Acres,Miles,County,Location,Start time (PDT),End time (PDT),Weather,Tide Station,Observations,Additional Observations,Photo towards beach,Notes,MLLW Tidal_Ht (m),CORRECTED DEPTH: Edge closest to shore (m MLLW) 1,CORRECTED DEPTH: Edge closest to shore (m MLLW) 1,CORRECTED DEPTH: Edge farthest from shore (m MLLW) 1,CORRECTED DEPTH: Edge closest to shore (m MLLW) 2,Water Temp (C ) Shore Edge 1,Water Temp (C ) Water Edge 1,Water Temp (C ) Shore Edge 2,Water Temp (C ) Water Edge 2,MLLW Tidal_Ht (m),Survey Conditions,Current (knots),Current Station,Averaged Temp (C) Shore Edge,Averaged Temp (C) Water Edge,Averaged Depth (m) Shore Edge,Averaged Depth (m) Water Edge
Geocortex.Gis.Geometries.Polygon,Clallam Bay,"Sept 2, 2023",9.58452147977262,0.759892918675156,Clallam,Clallam Bay,10:13 AM,10:47 AM,clear,Neah Bay (9443090),"The kelp appear healthy. There is a lot of Macrocystis present & mixed in with the predominantly-present Nereocystis. Macrocystis is thick through the center of the bed, and is extending toward the shore in many places. The North edge of the bed is mainly Nereocystis, with sparsely fringing bulbs extending toward the Strait beyond the Northern perimeter. There is a little sun bleaching on some kelp. The South outline is cut off in several places due to avoiding breaking waves for safety, therefore the perimeter does not include the entire expanse of the bed.","Species seen: bryozoan colonies, branched & shaggy brown epiphytic algae, sea otter, gulls, bald eagle, blue herons, kelp crab",https://photos.smugmug.com/photos/i-BXk8r5x/0/XL/i-BXk8r5x-XL.jpg,,0,,,,,,,,,,"We accidentally forgot to bring out the tools for measuring depth and temperature! Many Apologies! 

It was very wavy at the interior/South edge of the bed, so we were not able to survey all of this & much of the kelp is cut off. 

There is a disconnected but thick patch of Nereocystis to the West of the main bed, which extends to the rocks/shoreline.",1,Alan's Estimate,,,,
Geocortex.Gis.Geometries.Polygon,Freshwater Bay 1,"Aug 14, 2023",121.9744270375,4.11037962129626,Clallam,Freshwater Bay,08:07 AM,10:20 AM,clear,Port Angeles (9444090),"8/14/23: The kelp appeared healthy, dense, and was composed of almost all Nereocystis. The Macrocystis characteristically present at the center of the bed in previous years is now very little. The bed is more full, consistent & connected than it was in 2022! 8/31/23: The kelp looks healthy & more dense than it did in 2022! There are some thicker patches of Macrocystis present, compared with last year's near-absence of Macrocystis. These patches occurred along the South perimeter of the bed, especially toward the East, extending somewhat into the center of the bed, and often extending all the way to shore, even if not well connected to the main bed.","8/14/23 Creatures seen: forage fish, jellies, blue heron, river otters, harlequin ducks, gulls, bald eagle, epiphytic brown algae. 8/31/23: Species seen: forage fish, blue herons, gulls, bald eagle, pigeon guillemots, harlequin ducks, surf scoters, feather boa kelp (especially nearshore), plumeria, eelgrass, surfgrass, green & brown epiphytic algae, kelp crab",https://photos.smugmug.com/photos/i-ccWPV3Z/0/XL/i-ccWPV3Z-XL.jpg,"Polygon from two survey dates (8/14/23 & 8/31/23): Depth, temp, & photo from 8/14/23 survey that captured deep edge.",-0.3,,,,,11.7,11.7,12.8,11.1,,"8/14/23: It was very windy! Especially toward the second half of the survey. There were breaking waves at the interior/South edge of the bed, closest to shore. We were thus unable to survey that area. 8/31/23: Very calm water today! We were able to survey the inside/South side of the bed, to complete the perimeter accounting for last survey's incomplete portion.",1,Alan's Estimate,12.25,11.4,,
Geocortex.Gis.Geometries.Polygon,Freshwater Bay 2,"Aug 31, 2023",0.586537521645482,0.35515461830862,Clallam,Observatory Point,09:07 AM,09:40 AM,fog_mist,Port Angeles (9444090),"The kelp appeared healthy overall. The bed, main as well as North portions, was composed of exclusively Nereocystis- no Macrocystis was present at all. North of Bachelor Rock, the kelp extended all the way to the rocks/shore, so the perimeter consists of only a single line- the rest should be shaded in up to the shoreline.","Species seen: ochre stars, purple urchins, sea lion, gulls, brown epiphytic algae, green anemones, white plumose anemones, harlequin ducks, surf scoters, pigeon guillemots, bald eagle, orange sea cucumbers, bryozoans, jellies, and a family of orcas in the distance!",https://photos.smugmug.com/photos/i-55SvKfv/0/XL/i-55SvKfv-XL.jpg,,-0.4,,,,,13.3,11.1,12.2,11.1,,"@ N48°08.064, W123°38.224, a separate bed of Nereocystis fills the rest of the bay North of Freshwater Bay & Bachelor Rock, but this is disconnected from the main & North bed. This kelp patch is a bit sparse in the center, dense at the edges, and is completely missing any Macrocystis which was characteristically present in prior years.

The main bed surveyed at this location is South of Bachelor Rock (GPS file 1). The bed often connects around the East & North region of Bachelor Rock, which it did this year, and this region was surveyed as well (GPS file 2).",0.5,Alan's Estimate,12.75,11.1,,
Geocortex.Gis.Geometries.Polygon,Freshwater Bay 3,"Aug 31, 2023",0.315307854913326,0.15816786136962,Clallam,Observatory Point,09:40 AM,09:52 AM,fog_mist,Port Angeles (9444090),"The kelp appeared healthy overall. The bed, main as well as North portions, was composed of exclusively Nereocystis- no Macrocystis was present at all. North of Bachelor Rock, the kelp extended all the way to the rocks/shore, so the perimeter consists of only a single line- the rest should be shaded in up to the shoreline.","Species seen: ochre stars, purple urchins, sea lion, gulls, brown epiphytic algae, green anemones, white plumose anemones, harlequin ducks, surf scoters, pigeon guillemots, bald eagle, orange sea cucumbers, bryozoans, jellies, and a family of orcas in the distance!",https://photos.smugmug.com/photos/i-55SvKfv/0/XL/i-55SvKfv-XL.jpg,Added new location FWB3,-0.4,,,,,11.1,11.1,11.1,,,"@ N48°08.064, W123°38.224, a separate bed of Nereocystis fills the rest of the bay North of Freshwater Bay & Bachelor Rock, but this is disconnected from the main & North bed. This kelp patch is a bit sparse in the center, dense at the edges, and is completely missing any Macrocystis which was characteristically present in prior years.

The main bed surveyed at this location is South of Bachelor Rock (GPS file 1). The bed often connects around the East & North region of Bachelor Rock, which it did this year, and this region was surveyed as well (GPS file 2).",0.5,Alan's Estimate,11.1,11.1,,
Geocortex.Gis.Geometries.Polygon,Ebey's Landing,"Aug 14, 2023",31.1226274506829,1.99234471395963,Island,Ebey's Landing,08:10 AM,10:53 AM,clear,Admiralty Head (9447905),"Sori abundant (bulbs & blades look good & at varying degrees of aging);  bryozoans few; kelp crabs none.
individual mature kelp appearing from NW end of bed to shore segment waypoint.  This has been a pattern over the past few years - possible bed extension?
Bed is visibly less dense in multiple areas, especially at SE end & with a large ""donut hole"" near the NW end (""donut hole"" was surveyed).  2nd surveyed bed was separate from main bed, but has been integral in past years.","1 great blue heron fishing on kelp
12 pigeon guillemots moving around in bed (fish visible in beaks, but didn't see them diving)
2 big (~16-20"") salmon jumping at bed perimeter
Many schools of small fish in bed; 1 school of ~50 tubesnouts at waypoint 150
~ 24 Heerman's gulls throughout bed, fishing & socializing
1 bald eagle carrying unknown item with trailing eelgrass
8 fried egg jellies ≥ 6"" diameter throughout bed
Nearshore:  dense feather boa & eelgrass, some Laminaria; numerous orange sea cukes
Shore-casting fishers (max. 6) & 1 boat with 2 fishers at bed periphery",https://photos.smugmug.com/photos/i-mhnfFdb/0/XL/i-mhnfFdb-XL.jpg,,0,-0.81,-1.27,5.89,5.28,11.8,12.2,11.7,12.2,-2.34,"clear, sunny, NW wind 2 kt rising to 7 kt; current SE 1-2 kt",,on-site,11.75,12.2,-1.04,5.585
Geocortex.Gis.Geometries.Polygon,Hoypus Point,"June 22, 2023",1.99168068187942,0.271866837811824,Island,Hoypus Point,01:24 PM,02:00 PM,clear,Yokeko Point (9448601),"No Kelp carbs, no Bryozoans, limited sori on some larger plants. Deer on Beach. Bald Eagles.  Very few (<5) small unidentified fish.","Second bed West of shore segment noted as WP 3. 
Third bed West of shore segment noted and track included as '2023-06-22 14.20.08' . Track start GPS are 4 and 5",https://photos.smugmug.com/photos/i-7J7tDVz/0/XL/i-7J7tDVz-XL.jpg,,0,-1.54,-1.46,0.75,1.36,14.1,13.2,14.3,12.6,-2.45,< =5 kn breeze. Slight current to East. Kelp relatively sparse but widespread.,0,,14.2,12.9,-1.5,1.055
Geocortex.Gis.Geometries.Polygon,Hoypus Point,"July 20, 2023",2.76113013952144,0.324701360745064,Island,Hoypus Point,11:30 AM,11:45 AM,clear,Yokeko Point (9448601),Bryozoans now evident (<10%) but small and not overlapping. Occasional Sori - 10%. Small school sticklebacks. Boat wakes.,,https://photos.smugmug.com/photos/i-zjC8zQV/0/XL/i-zjC8zQV-XL.jpg,,0.06,1.15,1,5.27,3.44,13,12.6,13.9,12.7,-0.16,"Robust breeze, boat wakes, sunny,  minor current.",-0.5,,13.45,12.65,1.075,4.355
Geocortex.Gis.Geometries.Polygon,Hoypus Point,"Aug 15, 2023",3.46834711636457,0.424087914241919,Island,Hoypus Point,10:00 AM,11:08 AM,clear,Yokeko Point (9448601),"Kelp bulbs and fronds in very good condition. Somewhat sparse along South end and along outer edge. Majority of kelp in bed twined together into large clumps. Moderate sori present, a few Bryozoans and Kelp Crab observed.",,https://photos.smugmug.com/photos/i-H6b5bdP/0/XL/i-H6b5bdP-XL.jpg,,0.09,0.91,0.91,5.48,3.65,14.5,13.9,14.8,13.4,0.09,"light NW wind, current growing from 0.3 kt to 0.9 kt
several kelp clusters to NW of bed near starting waypoint, few individual plants to the East of bed",0.6,Yokeko Point/Deep Zoom,14.65,13.65,0.91,4.565
Geocortex.Gis.Geometries.Polygon,Hoypus Point,"Sept 28, 2023",2.46425858333205,0.300851377475169,Island,Hoypus Point,10:05 AM,,clouds,Yokeko Point (9448601),"Great Blue Heron on kelp. Abundant herring (assumed - did not see closely, but ""raindrop"" pattern on surface is distinctive), kelp holdfasts mixed with eel grass in shallows.  30% with sori, few bryozoans, green and brown algae on stipes of mature plants, 4 small (3 cm diameter tests) kelp crabs. While large, the bed appears sparse.",,https://photos.smugmug.com/photos/i-KPt5t6S/0/XL/i-KPt5t6S-XL.jpg,,0,1.29,1.29,6.01,5.4,12.5,12.3,12.5,12.4,-0.08,"3 kn West breeze, incoming current .5 to 1 knot on edge of bed",1,n/a - in situ,12.5,12.35,1.29,5.705
Geocortex.Gis.Geometries.Polygon,Lowell Point,"June 20, 2023",1.00132409473364,0.382484406293757,Island,Camano Is. SP-Lowell,09:00 AM,11:52 AM,light_rain,Sandy Point (9447856),"This bed was 150-200 ft long (NW to SW) and 30 to 50 ft wide. Early growth, moderately dense. Again, last June, 2022, there were no kelp bulbs visible at this time. The kelp looked healthy-fronds were intact with no bleaching.","Flora and fauna: Red rock crab, numerous small sea stars, armored sea cucumbers, pigeon guillemots, an eagle, several sea gulls",No image,,,-0.75,-0.84,-0.32,-0.54,13.9,13.9,13.9,13.9,,,,,13.9,13.9,-0.795,-0.43
Geocortex.Gis.Geometries.Polygon,Lowell Point,"July 16, 2023",4.35902676543405,0.891509957465317,Island,Camano Is. SP-Lowell,12:05 PM,13:31 PM,clear,Sandy Point (9447856),"Bed was moderately dense, blades looked healthy, not bleaching or torn. Moderate understory of kelp. A few boaters but some distance away. Harbor seal, forage fish, sea gulls, pigeon guillemots. 2nd Bed: Moderately dense bed, blades were healthy-no bleaching or torn. Moderate understory of kelp. Harbor seal, pigeon guillemots, kelp crab, sea gulls, anchored sea cucumbers, sea stars","The three small beds we had seen in June had grown into 2 significantly larger beds, the first extending from about 250 yards SE of Lowell Point south about 250 yards. The second bed was about 200 ft. SE of the first bed and extended SE about 400 yards.",https://photos.smugmug.com/photos/i-ChZXqjS/0/XL/i-ChZXqjS-XL.jpg,"Multipart Polygon-Depth, temp, & photo from larger bed",-0.01,0.96,1.6,3.91,5.77,16.5,15.5,15.7,15.7,-0.21,"8-12 knot winds, small waves, slow current. Kelp was moderately dense, kelp leaves were healthy, not bleached or torn. Small clusters outside of perimeter.",0,Greenbank,15.825,15.725,2.645,5.415
Geocortex.Gis.Geometries.Polygon,Lowell Point,"Aug 15, 2023",19.7389468598709,1.29214921984185,Island,Camano Is. SP-Lowell,11:59 AM,12:46 PM,clear,Sandy Point (9447856),"Bed was moderately dense, healthy blades-no bleaching, moderate understory, several harbor seals, many forage fish, 2 kelp crab, pigeon guillemots, sea gulls, anchored sea cucumbers, several boats in vicinity.","Overall, the bed has grown significantly since July. It has grown from 2 medium sized beds to one large bed that extends about 300 yds. SE of Lowell Point to our SE section border by the pier just NW of Elger Bay.",https://photos.smugmug.com/photos/i-DGjktDb/0/XL/i-DGjktDb-XL.jpg,,-0.23,1.55,1.22,6.09,7.04,21.3,18.1,18.4,21,-0.14,"2-4 knot winds, calm water, clear weather. Small clusters outsie main bed.",1,"Greenbank, Wa.",19.85,19.55,1.385,6.565
Geocortex.Gis.Geometries.Polygon,Polnell Point,"Aug 15, 2023",38.7129176086763,2.13185404076621,Island,Polnell Point,09:45 AM,12:05 PM,clear,Crescent Harbor (9447952),"Central western section & shallower areas are heavily aged (short or no blades, bleaching).  Peripheral areas & area about tip of the point have longer & younger blades with sori.
Multiple bulbs present beyond NW end of surveyed bed.
Separate offshore bed located at NW end of surveyed bed, but was not surveyed because it extended beyond shore segment point. 
Sori moderate; bryozoans few: kelp crab none","1 great blue heron on shoreline rocks
2 harbor seals on submerged rocks
Numerous fish schools throughout bed except in central western section; look like primarily shiner perch; few pile perch seen
Numerous ochre sea stars visible in shallower areas (<5'), nearly all have all 5 arms & majority are 6-8"" across",https://photos.smugmug.com/photos/i-q8zqBb2/0/XL/i-q8zqBb2-XL.jpg,,0,0.88,0.73,4.39,5.91,14.9,15.9,16,14.8,-0.19,"Calm, sunny, no wind; current east to west 0-1 kt",1,in-situ observation,15.45,15.35,0.805,5.15
Geocortex.Gis.Geometries.Polygon,Possession Point,"June 30, 2023",2.52953758696746,0.517850423400379,Island,Possession Point,07:28 AM,09:02 AM,clear,Glendale (9447814),"Sori Present, Very Murky, Sparse Kelp, Large Portion of Subsurface Kelp, West Side of Bed Was a Mix of Seagrass and Bull Kelp, Some Unidentified Fish. Small bed: only took one temp and depth data in the center of this track, sori present",,https://photos.smugmug.com/photos/i-t9JMS92/0/XL/i-t9JMS92-XL.jpg,"Multipart Polygon-Depth, temp, & photo from largest portion",0.06,1.44,0.53,2.51,2.81,15.5,15.6,16,15.8,-0.18,Sunny <10kt winds Current,0.5,Possesion Sound Entrance/Deep Zoom,15.8333333333333,15.8,1.08666666666667,2.66
Geocortex.Gis.Geometries.Polygon,Possession Point,"Aug 14, 2023",85.8871995486428,3.21810264646746,Island,Possession Point,10:19 AM,10:55 AM,clear,Glendale (9447814),"Sori and Bryozoans were most present on the east side of the bed specifically along the south east edge. Two sea lions spotted, one followed and attempted to intimidate us. High current along the east side of the bed. Few kelp crabs.","Most Sparse Near Shore, Bed extended out south past the track but in sparse clusters that did not quite qualify; moreover, the bed extended west past the end of our survey section. Middle of the south edge was the most dense while the north/north west edge was very sparse (just qualifying). Photos found at waypoints 019 & 705",https://photos.smugmug.com/photos/i-K2tTfVg/0/XL/i-K2tTfVg-XL.jpg,,0.06,1.35,3.33,6.69,4.86,16.8,16.5,17.2,18.6,0.35,Strong 10kt wind from NE,,Glendale,17,17.55,2.34,5.775
Geocortex.Gis.Geometries.Polygon,North Beach East,"Aug 12, 2023",18.1881459024092,1.14440123416759,Jefferson,North Beach Main,08:30 AM,10:05 AM,clouds,Port Townsend (9444900),"STRONG currents - measurements may not match GPS coordinates precisely; Healthy appearing kelp furthest from shore; Other species: 2 kelp crab, 1 seal, 2 blue herons and 3 dozen geese flying overhead, ""stunted"" feather boa covered in epiphytic/diatomaceous growth closer to shore, silty along shore; Gap persists at center of the bed",,No image,,-0.23,4.43,1.5,7.08,4.55,11.8,11.8,12.3,11.8,-0.01,Air temp: 65 degrees F; Wind: W-NW 7-8 MPH; Waning crescent moon (new moon 8/16/2023),1.5,DeepZoom-Point Wilson,12.05,11.8,2.965,5.815
Geocortex.Gis.Geometries.Polygon,North Beach East,"July 15, 2023",13.8232459995922,1.16694508184006,Jefferson,North Beach Main,09:10 AM,10:45 AM,clear,Port Townsend (9444900),"Other species present: eelgrass interspersed along shore, school of 4-5"" length fish, fucus, moon jelllyfish, 2 seals, feather boa prevalent along shore, 3 kelp crabs, numerous (~5) small schools of small (under 1-2"") fish along shore; Bed appears patchy with areas of evenly distributed bulbs and other areas with gaps, denser areas along the outer edge NW edge away from shore, along shore, and small cluster in center; Sori present on blades; 50/50 bull kelp and feather boa along the shore, though blades appear ""stunted"" and covered in (epiphytic/diatomaceous?) growth - many clusters along shore that don't quite reach the surface like other areas further offshore with healthy appearing blades",,https://photos.smugmug.com/photos/i-jbLBCv9/0/XL/i-jbLBCv9-XL.jpg,,-0.51,3.94,1.29,4.55,3.79,7.6,11.5,12.1,11.5,-0.04,Winds: W-NW 6-10mph; Air temp: 60-65 degrees F morning and 75 towards afternoon; Waning-crescent moon,2,DeepZoom,9.85,11.5,2.615,4.17
Geocortex.Gis.Geometries.Polygon,Biz Point,"June 14, 2023",0.28960874283086,0.264494363590712,Skagit,Biz Point,07:30 AM,07:50 AM,clouds,Burrows Bay (9448683),"The kelp bed was only a narrow band along the rocky cliffs similar to last June 2022. In previous surveys before 2022, this kelp bed was significantly wider. 
We arrived at 7:30 AM.which was 46 mins before the predicted slack current according to Deep Zoom, however Flood Tide was already starting. Next survey we will arrive at least 15 minutes earlier. The Kelp appeared very healthy,. very young and undamaged. A Harbor Seal observed us for a few minutes when we started and later I observed 3 Harbor Porpoises about 100 yards South of us. I located two healthy Purple Sea Stars along the cliffs.","The celsius thermometer that I used during this survey had large separations between the liquid so I could not get a temperature reading.  A temperature logger (RBR solo 3) was deployed throughout this survey.
Phil Latendresse took a video of the bed.
Times ( When I save draft they become 12:00) Waypoints - 001 - 7:37, 002 - 7:41, 003 - 7:50, Start Time 7:30, End Time 7:50",No image,,-0.12,,,1.38,,,,,,-0.11,,0,Burroughs Bay (9448683),,,,1.38
