geometry,Bed Name,Location,Survey Date,Acres,Miles,County,Start time (PDT),End time (PDT),CORRECTED DEPTH: Edge closest to shore (m MLLW),CORRECTED DEPTH: Edge farthest from shore (m MLLW),Total Bulbs/Meter-Squared,Water Temp (C ),Weather,Tide Ht Start (ft),Tide Station,Observations,Additional Observations,Photo towards beach,Photo towards water,Photo beach on left,Photo beach on right,SurveyID,Tidal Ht (m)
Geocortex.Gis.Geometries.Polygon,Ben Ure Island,Ben Ure Island,"Aug 7, 2017",1.18986926219527,0.74304926360544,Island,,11:25 AM,0.0305,5.8255,,13,Fog/mist,-0.1,Cornet Bay 9447995,Health/Morphology: appears healthy. Density/orientation: field looks densely filled in; length and size and shape of field almost identical to two weeks ago. Able to track a partial inner border once again. Water: turbid. Birds/fish/mammals: 2-4 pigeon guillemots fishing about 50yd beyond north side.,Fog due to BC fires. Slack predicted at 10:28 am but I saw blades reverse orientation between 10:45 and 11:00 am. Accuracy reading on GPS seems very inconsistent.,"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-rkrxNmB/0/bb841d2a/X5/BenUre_7August2017_ToBe-X5.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-vFCMBtW/0/b3c69981/X5/BenUre_7August2017_ToWa-X5.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-Dd8ZT9B/0/b9ea9d8c/X5/BenUre_7August2017_BeL-X5.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-S4NWKB3/0/b936c75d/X5/BenUre_7August2017_BeR-X5.jpg
",Ben_Ure_Island_07Aug17,
Geocortex.Gis.Geometries.Polygon,Ben Ure Island,Ben Ure Island,"July 26, 2017",1.13104699273282,0.702593319709217,Island,,01:20 PM,0.1525,,,12,Clear,-0.5,Cornet Bay 9447995,"Health/morphology: Appears healthy. Bulbs and stipes at surface, blades unfurled mostly below surface. Density/Orientation: More dense this month. A large area of field at East and Southeast sides was pulled away from beach allowing for a partial inner border tracking. Sections up on the rocks. Water: Lots of wave action, windy, extreme drift resulted in taking fewer photos and observations, and not measuring depth at furthest point from shore. Presence of orange sea cucumbers.","Next time start point should be the same as this time if the field is oriented that way again. ""Track start point"" slightly further north than the ""furthest point from shore""","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-WTt9G5P/0/0e952392/X5/BenUre_26July2017_ToBe1-X5.jpg
",,,"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-LmdrBNz/0/9f80036c/X5/BenUre_26July2017_BeR1-X5.jpg
",Ben_Ure_Island_26July17,
Geocortex.Gis.Geometries.Polygon,Ben Ure Island,Ben Ure Island,"June 23, 2017",0.850747734821276,0.683889619966878,Island,,,0.1525,3.965,,10,Clear,-0.5,Cornet Bay 9447995,"Health and morphology of bull kelp: Very green color, some plants have wider blades than others, looks healthy/clean. Density and orientation: longer kelp field than last month. Most section except at south end look similar to last year in density and width. Bulbs, stipes, and blades at the surface. A lot of kelp at waterline or up on the rocks. Water: lots of wave action from boats. Turbid as usual. Ebb stage indicated at the beginning of tracking but 10-15 minutes later blades reversed directions. Human impacts: crabbing activity nearby; crabbing boat anchored about 200 yd from south side of Ben Uhr/kelp field. Birds/fish/mammals: Small fish splashing at surface among kelp. Pigeon guillemots flying close by. Intertidal and subtidal organisms: 3 evasterias troschelli and several orange sea cucumber and many chitons.","I feel only a waypoint marked at furthest point is needed. Though indest no 1 and waypoint 114 are representing basically the same point, their coordinates are slightly different due to time difference when each is recorded. Responsiveness of keys in device and kayak drift contribute to this slight difference. The tide level could be 1 ft lower for D2 than it was at track end. At 10:20 am I took a depth measurement at WP #15/furthest point. Not confident about depth measurement","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-dhDS7XX/0/43de836b/5K/BenUre_23June2017_ToBe-5K.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-7NQPckC/0/60493f51/5K/BenUre_23June2017_ToWa-5K.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-zXqsBvd/0/31f98711/5K/BenUre_23June2017_BeL-5K.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-2wHN2s9/0/e8dd3a52/5K/BenUre_23June2017_BeR-5K.jpg
",Ben_Ure_Island_23June17,
Geocortex.Gis.Geometries.Polygon,Ben Ure Island,Ben Ure Island,"May 25, 2017",0.475677703824368,0.379443119668136,Island,,10:25 AM,-0.01525,3.79725,,9,Clouds,0.05,Cornet Bay 9447995,"Health and morphology: smaller bulbs and thinner stipes than usual. Bulbls and stipes at the surface but many below surface. Density and orientation: the ""poles"" of the kelp field were truncated, i.e. not as far south or as far NW as seen last year in june or july. Width of field much more narrow. Water: turbid. Human impacts: commercial/tribal fishing oncrabbing boats anchored nearby as was the case last year. Birds/fish/mammals: observed bald eagles on Ben Uhr  and often fish were splashing at the surface next to kelp. Intertidal/subtidal organisms: 1 Pisaster ochraceus and 1 large sea cucumber. About 14 strongylocentrous droebachiensis/green sea urchin and chitons including katarina tinicata and tonicella lineata",I used device #8 last year which gave lower values for accuracy (was more accurate than #9),"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-4h5WXdh/0/299ab0ca/5K/BenUre_25May2017_ToBe-5K.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-g49QBsk/0/7f3aa297/5K/BenUre_25May2017_ToWa-5K.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-Pn359qS/0/908954ac/M/BenUre_25May2017_BeL-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-mJZxDS9/0/2edf6f49/M/BenUre_25May2017_BeR-M.jpg
",Ben_Ure_Island_25May17,
Geocortex.Gis.Geometries.Polygon,Shannon Point 1&2,Shannon Point East ,"Sept 15, 2017",8.39869420969628,0.676082757492026,Skagit,08:54 AM,10:45 AM,0.1525,8.54,,14,Clear,0.5,Ship Harbor,Kelp much more dense in Bed 1 (beds 1 and 2 from July survey) but size seems roughly the same. Bed 3 had enlarged in area and density significantly. All kelp looked healthy with very long blades. No animals sighted this time.,"current switch from about 1kt to 2kt flood during survey, making ToBe for Bed 3 very tricky (depth measure not accurate). One might reconsider doing Shannon Point at zero tide (always big currents) as opposed to higher tide with less current change.","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-HHSr9zB/0/40b81c8f/M/Shannon12_15Sept2017_ToBe-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-8JdHGRs/0/2c97184f/M/Shannon12_15Sept2017_ToWa-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-v2NgZfN/0/5a2446d1/Th/Shannon12_15Sept2017_BeL-Th.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-GQNjDjw/0/d28d7940/Th/Shannon12_15Sept2017_BeR-Th.jpg
",Shannon_Point_1and2_15Sept17,
Geocortex.Gis.Geometries.Polygon,Shannon Point  3,Shannon Point West,"Sept 15, 2017",5.08218801186128,0.637141191980294,Skagit,09:51 AM,,0.55205,6.65205,,12,Clouds,0.19,Ship Harbor,"Seagrass, kelp looked healthy","Zoe's notes: again, photos unlabeled so I did my best!","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-F74b5rG/0/f32a892b/M/Shannon3_15Sept2017_ToBe-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-x5bpKwF/0/a65587ad/M/Shannon3_15Sept2017_ToWa-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-m2RTcnz/0/5115d693/M/Shannon3_15Sept2017_BeL-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-rg98SbG/0/da68085b/M/Shannon3_15Sept2017_BeR-M.jpg
",Shannon_Point_3_15Sept17,
Geocortex.Gis.Geometries.Polygon,Shannon Point 1&2,Shannon Point East ,"Aug 18, 2017",7.24852517352957,0.588827402677934,Skagit,09:45 AM,,0.61,5.49,,12,Clouds,0,Ship Harbor,"gulls and heron present, density of kelp variable-dense near shore, some areas sparse with outliers, kelp bed has grown since July and seems healthy-bed today is the merger of two separate beds from july (beds 1 and 2)","merged beds from july 22 now labelled ""bed Y2"" in data files for 8.18.17. waypoint 3 taken at small bed about 30 m n of bed Y2, small bed about 10m across","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-LPH8MXz/0/b3351a17/X3/Shannon12_18August2017_ToBe-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-JmvBSQX/0/4baacabb/X3/Shannon12_18August2017_ToWa-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-Lp63mB4/0/c02042a3/X3/Shannon12_18August2017_BeL-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-CmbGkWt/0/172f276e/X3/Shannon12_18August2017_BeR-X3.jpg
",Shannon_Point_1and2_18Aug17,
Geocortex.Gis.Geometries.Polygon,Shannon Point  3,Shannon Point West,"Aug 18, 2017",2.81359679896534,0.395644642178017,Skagit,10:15 AM,11:23 AM,2.5925,7.32,,12,"Clear, Clouds",0,Ship Harbor,In July this kelp bed was much smaller and we only mapped it as a waypoint. Today the bed is large enough to map althoguh the density is low,"small bed to nw of bed 3 about 150m away- only ~10m across, not surveyed",,"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-3F3Q7KB/0/71868fa0/X5/Shannon_22July2017_SB_ToWa-X5.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-znFC55S/0/5f93b312/X5/Shannon_22July2017_SB_BeL-X5.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-9CT7pxj/0/83ba2d61/X5/Shannon_22July2017_SB_BeR-X5.jpg
",Shannon_Point__3_18Aug17,
Geocortex.Gis.Geometries.Polygon,Shannon Point 1&2,Shannon Point East ,"July 22, 2017",2.77821850815286,0.455814162251796,Skagit,12:10 PM,,1.22,6.1,,14,Clear,0,Shannon Point,Gulls floating in kelp beds.,"Zoe's notes: pictures were not clearly labeled, so I did my best to guess. No sketch.","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-L93Vvqh/0/67f9dc22/X5/Shannon_22July2017_MB_ToBe-X5.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-VKfncPM/0/f5add41b/L/Shannon_22July2017_MB_ToWa-L.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-PsnNk7M/0/12698464/L/Shannon_22July2017_MB_BeL-L.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-tr5tjJW/0/7977f23b/X5/Shannon_22July2017_MB_BeR-X5.jpg
",Shannon_Point_1_22July17,
Geocortex.Gis.Geometries.Polygon,Shannon Point 1,Shannon Point East ,"July 25, 2017",3.02416172435943,0.389503947518831,Skagit,12:13 PM,12:50 PM,0.53375,5.10875,,15,Clear,-1.75,Ship Harbor,Kelp bed on shore at low tide,,0,0,0,0,Shannon_Point_1_25July17,
Geocortex.Gis.Geometries.Polygon,Ben Ure Island,Ben Ure Island,"Sept 18, 2017",1.51634908387906,0.741436877859721,Island,,10:10 AM,-0.2135,5.8865,,11,Clouds,0.7,Cornet Bay 9447995,"Health/Morphology: blade at south SE end had a rust colored furry algae; at north end had some white deposite on blades as seen last year. Bulbs/blades/stipes at the surface. Field of kelp seemed similar to what I saw last year as well as in August this year. Density/orientation: Density appeared to be very similar to what is was like in early August. Started track at end of ebb stage and a few minutes after track completed the blades were re-oriented in opposite direction. Water: Extremely calm, dead calm. Some white film on water surface at NE end. Water is quite turbid. Human impacts: Several crab pots were set up with buoys/floats at the NW end of Ben Uhre as well as a few SE of kelp field. A couple was launching a row boat at SE end when I was tracking. Greetings were exchanged; they said nothing unusual/noteworthy was experienced. Birds/fish/mammals: 1 harbor seal near boat launch swimming SE; 2-3 herons, 2 pigeon guillemots, 1 harbor seal north end of island, 1 kingfisher on island, north end. Herons were at waterline facing kelp field. Inter/subtidal organisms: orange sea cucumbers visible near or below waterline in several locations around island.","Very little boating activity today, allowing for a very consisten uninterrupted track/paddle speed. Ten minute paddle one way between Ben Uhr and Boat Launch/parking lot. Very unusual dead calm water and little wave action.","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-LZdK4Dh/0/4f483451/X3/BenUre_18Sept2017_ToBe-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-5hX9xgW/0/8fa403f3/X3/BenUre_18Sept2017_ToWa-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-RsD2HTg/0/4dd3af2b/X3/BenUre_18Sept2017_BeL-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-psHxx8r/0/ef8a7d00/X3/BenUre_18Sept2017_BeR-X3.jpg
",Ben_Ure_Island_18Sept17,
Geocortex.Gis.Geometries.Polygon,Reef Island,Reef Island,"Aug 18, 2017",0.910027659576433,0.503428592570716,San Juan,10:29 AM,10:50 AM,1.4518,8.4668,,14,,-1.76,Shaw Island,"Kelp frayed, barnacles, rockweed, ulva on intertidal rocks, understory kelps plus sargassum, one pisaster, one red rock crab","2 great blue herons, 2 marbled murrelets","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-p8zTmvp/0/60b93ca9/X3/reefisland_18August2017_ToBe-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-8zfKVK6/0/f633651e/X3/reefisland_18August2017_ToWa-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-Gd9nmqW/0/2bfbb24c/X3/reefisland_18August2017_BeL-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-zF8Bttn/0/4d66bf48/X3/reefisland_18August2017_BeR-X3.jpg
",Reef_Island_18Aug17,
Geocortex.Gis.Geometries.Polygon,Reef Island,Reef Island,"July 21, 2017",0.967186685934887,0.52189110233531,San Juan,07:33 AM,,1.5128,8.3753,,0,Clouds,-0.46,Orcas/Navionics,"numerous orange sea cucumbers, lots of epiphytes, white spots, ends shredded but overall looks healthy, ulva, rockweed, barnacles on rocks, large understory kelps, some eelgrass (south end), small amount of sargassum","skiff, person on shore with crab pots out, two marbled murrelets","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-99kpRrJ/0/daeab508/M/reefisland_21July2017_ToBe-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-rqDtp4L/0/25e2f169/M/reefisland_21July2017_ToWa-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-TK2W6JP/0/a31c2cc7/M/reefisland_21July2017_BeL-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-93PjjD2/0/1e3d602f/M/reefisland_21July2017_BeR-M.jpg
",Reef_Island_21July17,
Geocortex.Gis.Geometries.Polygon,Reef Island,Reef Island,"Sept 17, 2017",1.2088374749318,0.50212701712626,San Juan,07:50 AM,08:13 AM,0.3782,6.5392,,12,Clouds,0.56,Orcas,"epiphytes on kelp and white spots, really two kelp beds, area in middle no kelp seen, different than previous surveys at lower tides. Intertidal, rockweed, ulva, barnacles, understory sargassum plus several larger blade kelps",belted kingfisher,"https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-B9LJksw/0/28ad4ff4/X3/ReefIsland_17Sept2017_ToBe-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-Cqc8DvH/0/a1c03983/X3/ReefIsland_17Sept2017_ToWa-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-MFMRTFD/0/ea268486/X3/ReefIsland_17Sept2017_BeL-X3.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-Dg8dVNk/0/bfc5ccac/X3/ReefIsland_17Sept2017_BeR-X3.jpg
",Reef_Island_17Sept17,
Geocortex.Gis.Geometries.Polygon,Biz Point,Biz Point,"July 25, 2017",0.43279738871154,0.23834279830235,Skagit,12:07 PM,12:34 PM,1.769,4.209,,11,Clear,-1.8,South Allan Island,"This is a longish, gernally narrow kelp bed that is up against rocky shore at this tide, -2.1 at 11:13am. The kelp looked quite healthy","We launched at 11:37 amd explored this bed and a smuch larger bed farther south. There was substantial floor, even though slash between Allan and Burrows Islands was predicted or 12:18p.","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-n98KQcN/0/ba6e52e7/M/BizPt_25July2017_ToBe-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-CnkmgMk/0/9e93c420/M/BizPt_25July2017_ToWa-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-TQ9WthN/0/5f202960/M/BizPt_25July2017_BeL-M.jpg
","https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-2017-present/2017/i-QWv8cMH/0/4bfedbc5/M/BizPt_25July2017_BeR-M.jpg
",Biz_Point_25July17,
Geocortex.Gis.Geometries.Polygon,Camano Is. SP-Lowell,Camano Is. SP-Lowell,"July 26, 2017",3.88043209386934,0.477031112985996,Island,12:16 PM,,3.0988,8.5888,,14,,-1.16,Greenbank 9447883,"membranipora on kelp very small, one floater had a medium sized colony, surface kelp sparse",,0,0,0,0,Camano_Is_SPLowell_26Jul17,
Geocortex.Gis.Geometries.Polygon,Camano Is. SP-Lowell,Camano Is. SP-Lowell,"Aug 23, 2017",13.8826243602848,1.08962047603248,Island,11:15 AM,12:45 PM,2.135,3.477,,0,,0,Greenbank 9447883,,,0,0,0,0,Camano_Is_SPLowell_23Aug17,
